seccion;escenario_id;escenario_descripcion;fecha_desde;fecha_hasta;nivel;comuna_id;clase_incidente_id;modo_territorio;excluir_covid;limite;total_territorios_elegibles;total_incidentes_periodo;top1_nombre;top1_indice;top1_incidentes;top1_nivel;top1_rank_frecuencia;top3_nombres;overlap_top5_indice_frecuencia;spearman_indice_frecuencia;ranking_util;notas;fecha_revision
2_prioridad_territorial;A;Ciudad completa - ranking comunas (referencia);01/01/2018;30/09/2021;comuna;;;registro;si;50;22;75088;La Candelaria;62,6;12921;alto;1;"La Candelaria; Castilla; Laureles Estadio";5;0,8498;si;;2026-06-18
2_prioridad_territorial;B;Ciudad completa - ranking barrios;01/01/2018;30/09/2021;barrio;;;registro;si;50;270;74291;Sin Inf (Robledo);56,23;755;alto;17;"Sin Inf (Robledo); La Candelaria (La Candelaria); Caribe (Castilla)";4;0,9033;parcial;Spearman/overlap calculados sobre top 50 de 270;2026-06-18
2_prioridad_territorial;C;Rango 12 meses - comunas;01/10/2020;30/09/2021;comuna;;;registro;si;50;22;20102;La Candelaria;68,56;3387;alto;1;"La Candelaria; Robledo; Castilla";4;0,8498;si;;2026-06-18
2_prioridad_territorial;D;Comuna Castilla - barrios;01/01/2018;30/09/2021;barrio;27;;registro;si;50;18;7954;Caribe (Castilla);58,09;1321;alto;1;"Caribe (Castilla); Terminal de Transporte (Castilla); Castilla (Castilla)";3;0,8493;si;;2026-06-18
2_prioridad_territorial;E;Clase Atropello - comunas;01/01/2018;30/09/2021;comuna;;2;registro;si;50;21;11090;La Candelaria;75,17;2343;alto;1;"La Candelaria; Castilla; Robledo";4;0,8753;si;;2026-06-18
2_prioridad_territorial;F;Sin excluir COVID en tendencia - comunas;01/01/2018;30/09/2021;comuna;;;registro;no;50;22;75088;La Candelaria;62,6;12921;alto;1;"La Candelaria; Castilla; Laureles Estadio";5;0,8498;si;;2026-06-18
2_prioridad_territorial;G;Modo territorio espacial PostGIS - comunas;01/01/2018;30/09/2021;comuna;;;espacial;si;50;21;66137;La Candelaria;61,29;10643;alto;1;"La Candelaria; Robledo; Castilla";5;0,8558;si;;2026-06-18
